external_id,date,amount,merchant,description,category
hype-1001,2026-05-03,-62.40,Esselunga,Spesa settimanale,groceries
hype-1002,2026-05-04,-3.20,Bar Centrale,Cappuccino e brioche,coffee
hype-1003,2026-05-05,-13.99,Netflix,Abbonamento mensile,streaming
hype-1004,2026-05-06,-45.00,Q8 Distributore,Rifornimento,fuel
hype-1005,2026-05-08,-28.50,Trattoria da Mario,Pranzo,restaurants
hype-1006,2026-05-09,-9.99,Spotify,Abbonamento mensile,subscriptions
hype-1007,2026-05-10,-74.20,Esselunga,Spesa,groceries
hype-1008,2026-05-11,-2.00,ATM Milano,Biglietto metro,public_transport
hype-1009,2026-05-12,-119.90,Zara,Giacca,clothing
hype-1010,2026-05-14,-54.30,Amazon,Articoli vari,shopping
hype-1011,2026-05-15,-112.00,Enel Energia,Bolletta luce,utilities
hype-1012,2026-05-17,-22.80,Farmacia Comunale,Medicinali,pharmacy
hype-1013,2026-05-18,-41.10,Conad,Spesa,supermarket
hype-1014,2026-05-20,-7.50,Bar Centrale,Aperitivo,coffee
hype-1015,2026-05-22,-58.00,Trattoria da Mario,Cena,restaurants
hype-1016,2026-05-24,-89.99,Amazon,Cuffie,shopping
hype-1017,2026-05-25,-2.20,ATM Milano,Biglietto metro,public_transport
hype-1018,2026-05-27,-66.70,Esselunga,Spesa,groceries
hype-1019,2026-05-28,-15.00,Farmacia Comunale,Integratori,pharmacy
hype-1020,2026-05-29,-48.00,Q8 Distributore,Rifornimento,fuel
